Station Name,WMO Station Number,National Station Id Number,Period,Element-Statistic Qualifier Code,Statistic Description,Unit,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec,Dec Footnotes,Annual,Annual Footnotes,Annual NCDC Computed Value,Annual NCDC Computed Value Footnotes
Ahar,13900,38433,47067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahwaz,220,31333,48667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali-goodarz,19720,32400,49683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzali (port),-230,37467,49467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arak,17200,34100,49700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardebil,13420,38250,48283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babulsar,-210,36717,52650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baft,22580,29233,56583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bam,10670,29100,58400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandar abbas intl,100,27217,56367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandar lengeh,140,26583,54833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandar mahshahr,40,30500,49200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birjand,14910,32867,59200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojnourd,10740,37467,57333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushehr,80,28950,50850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushehr (civ/afb),190,28983,50833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chah bahar (ir-afb),60,25417,60750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dezful (iran-afb),1520,32433,48400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esfahan (civ/afb),15900,32616,51667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farsi island,40,27983,50183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
